time,I1P.conc,PP1Sp.n,PP1_active.N,S.N,S1.N,Sp.N,ca.conc
0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1.0,0.00279998692497,-7.04366587364e-06,1.21669075319e-05,19.998479412,0.00151772321084,3.31088671597e-06,0.0001
2.0,0.00279998475735,-6.70327869365e-06,1.2223325993e-05,19.9969587484,0.00302872744411,1.3221824177e-05,0.0001
3.0,0.00280000789219,1.32398352938e-06,1.17091269425e-05,19.9954379049,0.00453304194239,2.97003755683e-05,0.0001
4.0,0.00279993979984,1.11880427299e-05,1.31786092647e-05,19.9939171141,0.00603069582005,5.2714326355e-05,0.0001
5.0,0.00280001547246,9.09608374723e-06,1.15393665995e-05,19.9923968523,0.0075217180671,8.22304170015e-05,0.0001
6.0,0.00280001406261,6.99565826715e-06,1.15706010828e-05,19.9908766918,0.00900613754457,0.000118218086285,0.0001
7.0,0.00280002812805,1.51217278701e-05,1.12699537282e-05,19.9893563338,0.0104839829912,0.000160643492285,0.0001
8.0,0.00280002608595,1.19192763748e-05,1.13253399126e-05,19.9878364821,0.0119552830203,0.000209477997046,0.0001
9.0,0.00280001898446,-8.8974380726e-06,1.14710023285e-05,19.9863173259,0.0134200661192,0.000264689675519,0.0001
10.0,0.00280001599244,9.11970088268e-06,1.152605569e-05,19.9847969628,0.014878360651,0.000326244936468,0.0001
11.0,0.00280001437947,7.49442138389e-07,1.15541850917e-05,19.9832776067,0.0163301948567,0.000394111513335,0.0001
12.0,0.00279999170339,-2.73216110539e-06,1.20423579539e-05,19.9817582311,0.0177755968528,0.000468261244993,0.0001
13.0,0.00279999170533,-2.64793138803e-06,1.2038320498e-05,19.9802388392,0.0192145946359,0.000548660830357,0.0001
14.0,0.00279999169823,-2.64706484635e-06,1.20342123208e-05,19.9787195672,0.0206472160792,0.000635280148701,0.0001
15.0,0.00279999169102,-2.64685107311e-06,1.20298181631e-05,19.9772004125,0.022073488935,0.000728088431396,0.0001
16.0,0.00279999168336,-2.64661447546e-06,1.20251469737e-05,19.9756813753,0.0234934408346,0.000827055040536,0.0001
17.0,0.00279999167525,-2.6463493715e-06,1.20202015982e-05,19.9741624558,0.0249070992893,0.000932149476848,0.0001
18.0,0.0027999916667,-2.64605487466e-06,1.20149847828e-05,19.9726436543,0.0263144916907,0.00104334137934,0.0001
19.0,0.0027999916577,-2.64573013714e-06,1.20094992736e-05,19.971124971,0.0277156453111,0.00116060052491,0.0001
20.0,0.00279999164827,-2.6453743211e-06,1.2003747817e-05,19.9696064064,0.0291105873043,0.00128389682788,0.0001
21.0,0.00279999163841,-2.64498659853e-06,1.19977331597e-05,19.9680879606,0.0304993447058,0.00141320033964,0.0001
22.0,0.00279999162812,-2.64456615124e-06,1.19914580476e-05,19.9665696339,0.0318819444338,0.0015484812482,0.0001
23.0,0.00279999161741,-2.64411217081e-06,1.19849252258e-05,19.9650514267,0.0332584132892,0.00168970987775,0.0001
24.0,0.00279999160629,-2.64362385855e-06,1.1978137438e-05,19.9635333392,0.0346287779562,0.00183685668828,0.0001
25.0,0.00279999159474,-2.64310042557e-06,1.19710974264e-05,19.9620153718,0.0359930650031,0.0019898922751,0.0001
26.0,0.00279999158279,-2.64254109263e-06,1.19638079306e-05,19.9604975249,0.0373513008826,0.00214878736845,0.0001
27.0,0.00279999157044,-2.64194509017e-06,1.19562716878e-05,19.9589797987,0.0387035119324,0.00231351283306,0.0001
28.0,0.00279999155769,-2.6413116583e-06,1.1948491432e-05,19.9574621936,0.0400497243754,0.00248403966771,0.0001
29.0,0.00279999154454,-2.64064004671e-06,1.1940469894e-05,19.9559447099,0.0413899643207,0.00266033900481,0.0001
30.0,0.002799991531,-2.63992951473e-06,1.19322098006e-05,19.9544273481,0.0427242577635,0.00284238210992,0.0001
31.0,0.00279999151707,-2.63917933117e-06,1.19237138743e-05,19.9529101084,0.0440526305864,0.00303014038136,0.0001
32.0,0.00279999150276,-2.63838877444e-06,1.19149848332e-05,19.9513929913,0.0453751085589,0.00322358534975,0.0001
33.0,0.00279999148808,-2.63755713235e-06,1.19060253901e-05,19.9498759971,0.0466917173388,0.00342268867756,0.0001
34.0,0.00279999147302,-2.63668370219e-06,1.18968382529e-05,19.9483591262,0.0480024824721,0.00362742215867,0.0001
35.0,0.0027999914576,-2.63576779074e-06,1.18874261234e-05,19.9468423791,0.0493074293936,0.00383775771792,0.0001
36.0,0.00279999144181,-2.63480871403e-06,1.18777916975e-05,19.9453257561,0.0506065834277,0.00405366741066,0.0001
37.0,0.00279999142566,-2.63380579746e-06,1.18679376647e-05,19.9438092576,0.0518999697886,0.0042751234223,0.0001
38.0,0.00279999140915,-2.63275837576e-06,1.18578667076e-05,19.9422928841,0.0531876135806,0.00450209806788,0.0001
39.0,0.0027999913923,-2.63166579289e-06,1.1847581502e-05,19.9407766359,0.054469539799,0.00473456379156,0.0001
40.0,0.0027999913751,-2.63052740202e-06,1.1837084716e-05,19.9392605136,0.0557457733303,0.00497249316624,0.0001
41.0,0.00279999135756,-2.62934256551e-06,1.18263790102e-05,19.9377445175,0.0570163389529,0.00521585889304,0.0001
42.0,0.00279999133968,-2.62811065482e-06,1.1815467037e-05,19.936228648,0.0582812613373,0.00546463380085,0.0001
43.0,0.00279999132147,-2.62683105052e-06,1.18043514406e-05,19.9347129058,0.0595405650465,0.00571879084591,0.0001
44.0,0.00279999130293,-2.62550314218e-06,1.17930348566e-05,19.9331972911,0.0607942745371,0.00597830311133,0.0001
45.0,0.00279999128406,-2.6241263284e-06,1.17815199114e-05,19.9316818045,0.062042414159,0.00624314380658,0.0001
46.0,0.00279999126487,-2.62270001672e-06,1.17698092225e-05,19.9301664464,0.0632850081563,0.0065132862671,0.0001
47.0,0.00279999124537,-2.62122362356e-06,1.17579053978e-05,19.9286512173,0.0645220806676,0.0067887039538,0.0001
48.0,0.00279999122556,-2.61969657424e-06,1.17458110354e-05,19.9271361176,0.0657536557265,0.00706937045258,0.0001
49.0,0.00279999120544,-2.61811830283e-06,1.17335287236e-05,19.925621148,0.0669797572622,0.00735525947389,0.0001
50.0,0.00279999118502,-2.61648825216e-06,1.172106104e-05,19.9241063088,0.0682004090996,0.00764634485225,0.0001
51.0,0.000101476556275,0.00019098297387,3.53845432851e-05,0.0679500640755,7.58591906583,12.3430573295,0.0011
52.0,0.000101552164394,0.000215408126167,1.27525052613e-05,0.000830277419378,2.32932830097,17.6635926435,0.0011
53.0,0.000101516618228,0.000261411102758,9.68111414522e-06,0.000658304283231,0.709057872554,19.2808614012,0.0011
54.0,0.000101474965335,0.000327175256641,-9.43491481169e-06,0.000747663715783,0.217575644367,19.7689810412,0.0011
55.0,0.00279938394301,-3.03513607697e-06,5.84766643998e-06,0.000832142756097,0.0768185963437,19.9066342715,0.0001
56.0,0.00279998598614,1.64896528796e-06,2.73754114768e-06,0.000891514438565,0.0764844261812,19.9068193044,0.0001
57.0,0.00279998750675,3.90676147863e-06,1.26019533337e-06,0.000951669155532,0.0761517145283,19.906992168,0.0001
58.0,0.00279998770512,6.093014887e-06,-1.7553561035e-07,0.00101211397564,0.0758204550709,19.9071646543,0.0001
59.0,0.00279998351166,1.60771015494e-06,2.83710779389e-06,0.001073115809,0.0754906415273,19.9073360832,0.0001
60.0,0.00279998817802,3.65406159995e-06,1.49415722117e-06,0.0011342938294,0.0751622676188,19.9075038344,0.0001
61.0,0.00279996490832,-6.88860104114e-06,8.56052422632e-06,0.00119610688928,0.0748353271182,19.9076742287,0.0001
62.0,0.0027999835758,3.73103285704e-06,1.49073867807e-06,0.00125770793289,0.0745098138052,19.9078375147,0.0001
63.0,0.00279998027005,3.48545394452e-06,1.68363702261e-06,0.00132003559017,0.0741857215065,19.9079989825,0.0001
64.0,0.00279998402779,3.82820750949e-06,1.47454433741e-06,0.00138268474906,0.073863044064,19.908158977,0.0001
65.0,0.00279998066888,-4.17811459071e-07,4.33148590661e-06,0.00144558825316,0.0735417753461,19.9083246108,0.0001
66.0,0.00279998120442,5.77294931122e-07,3.69129648528e-06,0.00150894735755,0.073221909248,19.9084800768,0.0001
67.0,0.00279998796486,4.64254762832e-06,1.00422074989e-06,0.00157266085411,0.0729034396994,19.908630451,0.0001
68.0,0.00279999382384,1.08241268896e-05,-3.09129577766e-06,0.0016366355301,0.0725863606594,19.9087799293,0.0001
69.0,0.00279998371336,2.64963228212e-06,2.38232910748e-06,0.0017011457336,0.0722706660903,19.9089364748,0.0001
70.0,0.00279998661323,4.59428682741e-06,1.10792697733e-06,0.0017658426965,0.0719563500005,19.9090859885,0.0001
71.0,0.00279998078309,3.91888868866e-07,3.9378799356e-06,0.0018312126332,0.0716434064245,19.909230878,0.0001
72.0,0.0027999862618,7.1697620696e-06,-5.5748048389e-07,0.00189633232668,0.0713318294108,19.9093804932,0.0001
73.0,0.00279997589651,3.52155875185e-06,1.90507873139e-06,0.00196236433059,0.0710216130375,19.9095222855,0.0001
74.0,0.00279997372093,3.14439753554e-06,2.18535144285e-06,0.00202840045969,0.0707127514138,19.9096692047,0.0001
75.0,0.00279998438694,3.37507609904e-06,2.04330687947e-06,0.00209493532052,0.0704052386755,19.9098095517,0.0001
76.0,0.00279997884311,7.20941499625e-07,3.83785006312e-06,0.00216180690129,0.0700990689712,19.9099512778,0.0001
77.0,0.0027999871679,5.49099819909e-06,6.74895226571e-07,0.00222830060257,0.0697942364628,19.9101042702,0.0001
78.0,0.00279998040264,1.05463021061e-06,3.65979922274e-06,0.0022958296351,0.0694907353619,19.9102440066,0.0001
79.0,0.00279998953523,3.87723379396e-06,1.79894441722e-06,0.0023635774216,0.0691885599178,19.9103785764,0.0001
80.0,0.00279998243115,8.05346406781e-06,-9.55281343591e-07,0.00243170026756,0.0688877043898,19.9105092842,0.0001
81.0,0.0027999774469,9.41197395388e-07,3.81203456007e-06,0.00250043148031,0.0685881630683,19.9106422667,0.0001
82.0,0.00279997643711,8.42598133691e-07,3.90345688199e-06,0.00256939268887,0.0682899302571,19.9107701371,0.0001
83.0,0.00279998513677,3.85964581408e-06,1.90893447407e-06,0.00263859115482,0.0679930003015,19.9108969216,0.0001
84.0,0.00279999412912,1.03119417656e-05,-2.36933524945e-06,0.00270789048165,0.067697367536,19.9110253605,0.0001
85.0,0.00279997563358,4.77808967912e-06,1.34941743386e-06,0.0027780851267,0.0674030263571,19.9111484565,0.0001
86.0,0.00279997943548,4.56766772941e-06,1.51507032172e-06,0.00284843269539,0.0671099711687,19.9112705571,0.0001
87.0,0.0028000133444,9.51326923636e-06,-1.77122552895e-06,0.00291828820387,0.0668181964048,19.9114104793,0.0001
88.0,0.00279998753204,5.85632215521e-06,6.94001717112e-07,0.0029894675776,0.0665276964837,19.9115274617,0.0001
89.0,0.00279998166267,7.92077395293e-06,-6.50089349388e-07,0.00306096321768,0.0662384659246,19.9116382977,0.0001
90.0,0.00279997738015,1.25061593078e-07,4.56659982631e-06,0.00313248130359,0.0659504992195,19.9117669395,0.0001
91.0,0.00280000160543,2.53634502266e-06,2.98247332444e-06,0.0032038642843,0.0656637908899,19.9118975875,0.0001
92.0,0.00279997718998,4.45022265736e-06,1.72974824004e-06,0.00327621366617,0.065378335459,19.9120075074,0.0001
93.0,0.00279998055043,2.14666181551e-06,3.28582718894e-06,0.00334879493235,0.0650941275334,19.912123569,0.0001
94.0,0.00279998695127,3.56694132463e-06,2.36017842791e-06,0.00342166872871,0.0648111617137,19.9122357904,0.0001
95.0,0.00279998456684,3.55723079601e-06,2.39167727825e-06,0.00349481590528,0.0645294326093,19.9123498245,0.0001
96.0,0.00279998820469,6.97042527935e-06,1.36870517596e-07,0.00356832688665,0.0642489348696,19.9124579165,0.0001
97.0,0.00279997886384,3.73181534997e-06,2.32861402726e-06,0.00364259658936,0.0639696631742,19.9125593648,0.0001
98.0,0.00279998039157,1.549532116e-06,3.80411124091e-06,0.00371699030381,0.0636916122196,19.9126649943,0.0001
99.0,0.00279998704112,6.73248360277e-06,3.72937546762e-07,0.00379161314244,0.0634147767155,19.9127652214,0.0001
100.0,0.00279998856615,3.61939311091e-06,2.47028638535e-06,0.00386669990575,0.0631391513961,19.9128687927,0.0001
101.0,0.00279997819171,5.18979681405e-06,1.45131678239e-06,0.00394204226011,0.062864731014,19.9129685965,0.0001
102.0,0.00279998411906,6.69615759154e-06,4.67057788509e-07,0.0040173218747,0.0625915103432,19.9130782405,0.0001
103.0,0.00279998102178,-6.05498496872e-07,5.36043809058e-06,0.00409350260995,0.0623194841978,19.9131787482,0.0001
104.0,0.00279998473052,4.4144171521e-06,2.03220978574e-06,0.00416957616037,0.062048647405,19.9132786249,0.0001
105.0,0.00279998320646,3.27273495082e-06,2.81793743024e-06,0.00424622241403,0.0617789948141,19.9133756335,0.0001
106.0,0.00279998506672,3.26049744058e-06,2.84817324866e-06,0.00432329509397,0.0615105213038,19.9134676347,0.0001
107.0,0.00279997714782,4.59745365509e-06,1.98490658077e-06,0.0044005562231,0.0612432217722,19.9135611611,0.0001
108.0,0.00279999051401,5.2162873621e-06,1.60078519723e-06,0.00447810167677,0.0609770911308,19.9136560652,0.0001
109.0,0.00279998870856,1.12245531521e-05,-2.38921754644e-06,0.00455613321732,0.0607121243277,19.9137392544,0.0001
110.0,0.00279998662127,6.9217613664e-06,5.01200878572e-07,0.00463421886184,0.0604483163031,19.9138390886,0.0001
111.0,0.00279997604725,5.18136064128e-06,1.69177795465e-06,0.00471305046804,0.0601856620532,19.9139228258,0.0001
112.0,0.0027999804574,6.67913630868e-06,7.1591988647e-07,0.00479229984205,0.0599241566054,19.9140003067,0.0001
113.0,0.00279998042276,7.10493384365e-06,4.56949977377e-07,0.00487200774164,0.0596637949897,19.9140746127,0.0001
114.0,0.00279997918851,1.73304914564e-07,5.10311923808e-06,0.00495209880577,0.0594045722608,19.9141543725,0.0001
115.0,0.00279997880356,3.99610823963e-06,2.57974395448e-06,0.00503213645308,0.0591464834761,19.9142335381,0.0001
116.0,0.00279997539478,1.73885402818e-06,4.11043045529e-06,0.0051127130944,0.0588895237257,19.9143117112,0.0001
117.0,0.00279999801742,1.32103079541e-05,-3.51463602086e-06,0.00519318918152,0.0586336881193,19.9143877566,0.0001
118.0,0.00279998120211,3.30069710774e-06,3.10813925829e-06,0.00527442870013,0.0583789717793,19.9144710863,0.0001
